title,shipping,editors_choice,uuid,url,description,price,category,picture_url,time_published,hotness,time_modified
Civilization III Complete Edition for PC,,,2168543,https://www.dealnews.com/Civilization-III-Complete-Edition-for-PC-for-1/2168543.html,"GameStop offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168543"">Sid Meier's Civilization III Complete Edition for Windows</a> for <strong>$1.49</strong>. That's the lowest price we could find for this classic game now by $4, although we saw it for free in October.",$1,PC GAMES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k0bpusm0b6c4cagctx6h",2017-12-29T16:42:57-05:00,3,
Cylen Ventilated Foam Orthopedic Seat Cushion,free shipping w/ Prime,,2168540,https://www.dealnews.com/Cylen-Ventilated-Foam-Orthopedic-Seat-Cushion-for-14-free-shipping-w-Prime/2168540.html,"Hulislem via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168540"">Cylen Home Ventilated Memory Foam Orthopedic Seat Cushion</a> in Blue for $21.99. Coupon code ""6CPWVGSG"" drops it to <strong>$13.75</strong>. Plus, Prime members bag <b>free shipping</b>. That's tied with our October mention as the lowest price we've seen. (It's the best deal now by about $12.) It features memory foam with an activated charcoal-infused bamboo core, an anti-slip bottom, and removable washable cover. Deal ends January 31.",$14,HEALTH,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lshcvy71qvvzomnyjsdf",2017-12-29T16:37:47-05:00,3,
"Hotel and Ski Packages in Salt Lake City, UT",,,2168552,https://www.dealnews.com/Hotel-and-Ski-Packages-in-Salt-Lake-City-UT-from-115-per-person/2168552.html,"Visit Salt Lake via Dunhill Travel continues to discount a range of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168552"">hotel stays during ski season</a> with prices starting from <b>$115 per person per night</b>. Plus, many of these properties offer further discounts on ski passes, extra days, and ski shuttles. Hotels include Solitude Resort Lodging, Staybridge Midvale, Snowbird Ski Resort, Hyatt Place Cottonwood, and more. Book this travel deal by December 31 for stays throughout the 2017-2018 ski season.",from $115 per person,HOTELS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hoos3ecvlzsaczxxnffo",2017-12-29T16:36:46-05:00,3,
Cruise.com Carnival Cruises Sale,,,2168549,https://www.dealnews.com/Cruise.com-Carnival-Cruises-Sale-from-199-per-person/2168549.html,"Cruise.com via ShermansTravel discounts select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168549"">Carnival Cruises 2018 Cruises</a> with prices starting from <strong>$199 per person</strong>. That yields low starting prices for Carnival cruises. Additional fees and blackout dates apply. Save on a range of itineraries, including departures from Miami, Port Canaveral, Jacksonville, and Baltimore. This travel deal ends December 31.",from $199 per person,CRUISES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x8hesr9n6yqitxngw61w",2017-12-29T16:34:15-05:00,4,
Return to Castle Wolfenstein for PC,,,2168537,https://www.dealnews.com/Return-to-Castle-Wolfenstein-for-PC-for-1/2168537.html,"GameStop offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168537"">Return to Castle Wolfenstein for Windows</a> for <strong>$1.24</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089544,2168537"">Steam</a> charges the same.) That's tied with our August mention, a current best by $4, and the lowest price we've seen.",$1,PC GAMES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q3kmlnmb7odoik9ort15",2017-12-29T16:31:56-05:00,4,
Ubiquiti Unifi Gateway Gigabit Router,free shipping,,2168483,https://www.dealnews.com/Ubiquiti-Unifi-Gateway-Gigabit-Router-for-95-free-shipping/2168483.html,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168483"">Ubiquiti Networks Unifi Enterprise Gateway Router with Gigabit Ethernet</a> for $109.99. Coupon code ""EMCBCCG29"" cuts that to <strong>$94.99</strong>. With <strong>free shipping</strong>, that's $11 under our August mention and the lowest price we could find now by $15. It features a 500MHz dual-core processor, 512MB RAM, 2GB flash storage, and three Gigabit Ethernet ports. Deal ends January 1.",$95,ROUTERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qvsxbaafnie5wfa4iraw",2017-12-29T16:23:04-05:00,4,
Playmobil Space Shuttle,pickup at Walmart,,2168468,https://www.dealnews.com/Playmobil-Space-Shuttle-for-18-pickup-at-Walmart/2168468.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168468"">Playmobil Space Shuttle</a> for <strong>$17.95</strong>. Choose in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089397,2168468"">Amazon</a>, for Prime members only, and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089400,2168468"">Target</a> charge cents less if you prefer those stores.) That's the lowest price we could find by $12. It includes two figures.",$18,TOYS & HOBBIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kakvqkgiguumbkcsl0zr",2017-12-29T16:18:28-05:00,3,
American Airlines Nationwide Fares,,,2168534,https://www.dealnews.com/American-Airlines-Nationwide-Fares-from-66-Roundtrip/2168534.html,"American Airlines via ShermansTravel offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168534"">American Airlines Nationwide Roundtrip Fares</a>, with prices starting from <strong>$66.39</strong>. (On the ShermansTravel landing page, click on ""AA.com"" in the top paragraph to see this sale.) We found this price departing on January 22, 2018, from Miami, FL, (MIA) with arrival in New Orleans, LA, (MSY) and return on January 26, 2018. That's the lowest price we could find for select routes by at least $39. Book this travel deal by January 31 for travel in January and February 2018.<br>
<br>
Prices, dates, and booking details were valid at the time of publication.",from $66 Roundtrip,AIRFARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gpyj1lbcxn3fdo7xlsjp",2017-12-29T16:18:09-05:00,4,
"Lifesource 20"" Heater Fireplace",free shipping,,2168510,https://www.dealnews.com/Lifesource-20-Heater-Fireplace-for-137-free-shipping/2168510.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168510"">Lifesource 20"" Heater Fireplace</a> for <b>$136.53</b> with <b>free shipping</b>. That's the lowest price we could find by $51. It features LED color change and flame effects, remote control, and measures 36"" x 11"" x 20"".",$137,HEATERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pg55myoczz8np5qtlllp",2017-12-29T16:07:46-05:00,3,
Jos. A. Bank After Christmas Sale,free shipping,,2167805,https://www.dealnews.com/Jos.-A.-Bank-After-Christmas-Sale-Extra-50-off-Clearance-free-shipping/2167805.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167805"">Jos. A. Bank</a> knocks <strong>up to 50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087672,2167805"">clearance items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087675,2167805"">After Christmas Sale</a>. Plus, all orders receive <strong>free shipping</strong>. Deal ends January 1.",Extra 50% off Clearance,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a7xeamme77qdcwnyrzth",2017-12-29T00:01:00-05:00,,
