time_modified,time_published,editors_choice,title,shipping,hotness,picture_url,price,uuid,url,description,category
,2018-01-02T14:55:20-05:00,,Best Power Tool Deals: Get a 12-Volt Cordless Drill/Driver at Its Lowest Price,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tlamsogguwbvi7s7nwvu",,2170376,https://www.dealnews.com/features/best-tool-deals/,"Whether you missed out over the holidays, or you just need to add to your collection, our roundup of the week's best <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/best-tool-deals/"">tool deals</a> has you covered. Score cordless drills from Worx, a power inflator, and more.",ROUNDUPS
,2018-01-02T14:47:55-05:00,,Frontier Airlines Nationwide Fares,,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tdjsfk0cumhrlgma5m3m",from $19 1-Way,2170370,https://www.dealnews.com/Frontier-Airlines-Nationwide-Fares-from-19-1-Way/2170370.html,"Frontier Airlines via DealBase discounts select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170370"">Frontier Airlines Nationwide 1-Way Fares</a> with fares starting from <strong>$19.30</strong>. (On the DealBase landing page, click on ""Frontier Airlines"" in the top line to see this sale.) That's the best price we could find for select routes today by at least $14. This price is valid on flights departing from Albuquerque, NM, (ABQ) with arrival in Denver, CO, (DEN) on January 8. Book this travel deal January 3 for travel from January 8 through February 7.<br>
<br>
All prices, dates, and booking details were valid at the time of publication.",AIRFARE
,2018-01-02T14:38:27-05:00,,Bosch 24-Piece Screwdriver Bit Set,free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zyia15fnv50mq893bavg",$10,2170220,https://www.dealnews.com/Bosch-24-Piece-Screwdriver-Bit-Set-for-10-free-shipping/2170220.html,"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170220"">Bosch Impact Tough 24-Piece Screwdriver Bit Set</a> for <strong>$9.98</strong>. Plus, MyLowe's members bag <b>free shipping</b>. (Not a MyLowe's member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092370,2170220"">join</a>.) That's tied with our November mention, $10 off, and the best price we could find. The bits feature a black oxide coating.",HAND TOOLS
2018-01-02T18:49:18-05:00,,,Pizza Hut Menu-Price Pizzas,,5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wv8zrfxtgjkxwt03alsq",50% off,2170361,https://www.dealnews.com/Pizza-Hut-Menu-Price-Pizzas-50-off/2170361.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170361"">Pizza Hut</a> takes <strong>50% off</strong> all <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092982,2170361"">online menu-priced pizzas</a>. (No coupon is required.) That's tied with our November mention as the best percent-off discount we've seen from Pizza Hut. Some exclusions may apply. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092985,2170361"">Click here</a> to find a location near you. Deal ends January 8.",RESTAURANTS
,2018-01-02T10:58:08-05:00,,Verizon Fios 100/100 Internet,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nznrhqifi6vmgvfqqjjc",$40/month,2170205,https://www.dealnews.com/Verizon-Fios-100-100-Internet-for-40-month/2170205.html,"Verizon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170205"">Verizon Fios 100/100 Mbps Internet Service</a> for <strong>$39.99 per month</strong>. That's a $10 per month savings. Also, the standard setup charge is waived, a $99.99 value. Plus, switch to Fios and get out of your contract with <strong>up to a $500 credit</strong> to help cover your early termination fee.",COMPUTER SERVICES
,2018-01-02T14:30:33-05:00,True,Larabar Gluten Free Pecan Pie Bar 16-Pack,free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cehsuyq5ef8o6caltzbh",$7,2170355,https://www.dealnews.com/Larabar-Gluten-Free-Pecan-Pie-Bar-16-Pack-for-7-free-shipping/2170355.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170355"">Larabar 1.6-oz. Gluten Free Bar 16-Pack</a> in Pecan Pie for <strong>$7.38</strong> with <strong>free shipping</strong> via the below directions. That's $4 under our August mention and at least $8 less than you'd spend for any flavor at a local retail store. These gluten-free snacks are certified Kosher. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092958,2170355"">Larabar 1.6-oz. Bar 16-Pack</a> for $11.45
 </li>
 <li>clip the $3.50 off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$7.38</strong>
 </li>
</ol>
Note: Remember to cancel your subscription after your order ships to avoid being billed for subsequent purchases.",GROCERIES
2018-01-02T18:41:42-05:00,,,Daisy Youth Buck Air Rifle,pickup at Walmart,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p4e2cjrh3ld10bey0big",$18,2170352,https://www.dealnews.com/Daisy-Youth-Buck-Air-Rifle-for-18-pickup-at-Walmart/2170352.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170352"">Daisy Youth Buck Air Rifle</a> for <strong>$17.96</strong>. Opt for in-store <strong>pickup</strong> to avoid a $5.99 shipping charge. That's the lowest price we could find by $8. It features a 400-shot capacity and lever-cocking spring air action.",GUNS & AMMO
,2018-01-02T14:16:39-05:00,,TimeOffice Exec Office Chair,free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jtnwtimawybaygka2ige",$60,2170346,https://www.dealnews.com/Time-Office-Exec-Office-Chair-for-60-free-shipping/2170346.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170346"">TimeOffice High-Back Mesh Executive Office Chair with Headrest</a> in Black for <strong>$60.36</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092904,2170346"">Amazon</a> has it for the same.) That's tied with our November mention and the lowest price we could find by $47. It features an adjustable headrest, armrests, and height.",OFFICE CHAIRS
,2018-01-02T14:16:29-05:00,,HP Slimline AMD A6-9200 2GHz Desktop,free shipping,2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m8nidhfkersvb0vadp5r",$300,2170214,https://www.dealnews.com/HP-Slimline-AMD-A6-9200-2-GHz-Desktop-for-300-free-shipping/2170214.html,"HP offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170214"">HP Slimline 270-a035z AMD A6-9200 2GHz Desktop PC</a> for <strong>$299.99</strong> with <strong>free shipping</strong>. That's $100 off and the best price we could find. It features an AMD A6-9200 2GHz dual-core processor, 8GB RAM, 1TB 7200rpm hard drive, 802.11n wireless, USB 3.0, HDMI, and Windows 10 Home 64-bit.",DESKTOPS
,2018-01-02T14:08:58-05:00,,"Dell XPS Kaby Lake i5 Dual 13"" 1080p Laptop",free shipping,2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/smolcxuxzpjxvyszp6xr",$882,2170343,https://www.dealnews.com/Dell-XPS-Kaby-Lake-i5-Dual-13-1080-p-Laptop-for-882-free-shipping/2170343.html,"Dell Home, via its Member Purchase Program, offers its 2.7-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170343"">Dell XPS 13 9360 Intel Kaby Lake Core i5 2.5GHz 13.3"" 1080p Laptop</a> for $930.99. Coupon code ""50OFF699"" knocks it to <strong>$881.99</strong>. With <strong>free shipping</strong>, that's $18 under our mention from three weeks ago, $218 off, and the lowest price we could find. Features include an Intel Core i5-7200U 2.5GHz Kaby Lake dual-core processor, 13.3"" 1920x1080 (1080p) IPS LCD, 8GB RAM, 256GB SSD, 802.11ac wireless, Thunderbolt 3, USB 3.0, and Windows 10 Home 64-bit.",LAPTOPS
,2018-01-02T14:03:43-05:00,,Dewalt 3-Tool Cordless Combo Kit,free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kxhi7bvt361jw6snj0t3",$199,2170340,https://www.dealnews.com/Dewalt-3-Tool-Cordless-Combo-Kit-for-199-free-shipping/2170340.html,"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170340"">Dewalt 3-Tool 20-volt Max Lithium Ion Cordless Combo Kit</a> for <b>$199</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092856,2170340"">CPO Tools</a> has it for the same price.) That's the lowest price we could find by $61. It includes a hammerdrill, impact drive, flashlight, two batteries, charger, and bag.",POWER TOOLS
,2018-01-02T13:57:34-05:00,,F-color Magnetic Dashboard Car Phone Holder,free shipping w/ Prime,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cggv3ucdl6kyqwub1lts",$7,2170316,https://www.dealnews.com/F-color-Magnetic-Dashboard-Car-Phone-Holder-for-7-free-shipping-w-Prime/2170316.html,"F-color via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170316"">F-color Magnetic Dashboard Car Phone Holder</a> for $10.99. Coupon code ""XWL7S9OH"" drops it to <b>$6.99</b>. Plus, Prime members bag <b>free shipping</b>. That's tied with our mention from two weeks ago, $4 off list, and the lowest price we could find. It features a suction cup mount. Deal ends January 7.",AUTOMOTIVE
,2018-01-02T13:48:44-05:00,,"Flovea 84"" 16:9 Projector Screen",free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bol55lwpswbmjtbznfha",$20,2170337,https://www.dealnews.com/Flovea-84-16-9-Projector-Screen-for-20-free-shipping/2170337.html,"Flovea via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170337"">Flovea 84"" 16:9 Home Theater Projector Screen</a> for $29.99. Coupon code ""HBGVL8QM "" cuts that to <strong>$19.79</strong>. With <strong>free shipping</strong>, that's the lowest price we could find for such a projector screen by $2. It features a 73x41"" viewing area. Deal ends January 20.",PROJECTORS
,2018-01-02T13:47:32-05:00,,2 IKong Brother-Compatible Toner Cartridges,free shipping w/ Prime,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztl6i2epagucvflyyjtf",$9,2170190,https://www.dealnews.com/2-IKong-Brother-Compatible-Toner-Cartridges-for-9-free-shipping-w-Prime/2170190.html,"IKong via Amazon offers Prime members its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170190"">IKong Brother-Compatible TN450/TN420 Replacement Black Toner Cartridge 2-Pack</a> for $14.29. Coupon code ""5YO97O8J"" cuts it to <b>$9</b>. With <b>free shipping</b> for Prime members, that's $3 under our May mention and the lowest we've seen. (It's $14 under the best price we could find for a 2-pack of similar cartridges elsewhere.) They're compatible with many Brother HL-, MFC-, Intellifax-, and DCP-series printers. Deal ends February 1.",INK & TONER
2018-01-02T18:39:00-05:00,,,Ashford Clearance Sale,free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xgc6iv4qtf3jdkxhsez3",Up to 79% off + 20% off,2170334,https://www.dealnews.com/Ashford-Clearance-Sale-Up-to-79-off-20-off-free-shipping/2170334.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170334"">Ashford</a> takes an <b>extra 20% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092790,2170334"">clearance watches</a>, already discounted <b>up to 79% off</b>, via coupon code ""HELLO18"". Plus, all orders bag <b>free shipping</b>. Deal ends January 8.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s342/Ashford/"">Ashford Coupons</a>.</p>",WATCHES
,2018-01-02T13:39:05-05:00,,LE Swing Arm Dimmable LED Desk Lamp,free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxx12hsgjc3ewnsmkrmk",$30,2170304,https://www.dealnews.com/LE-Swing-Arm-Dimmable-LED-Desk-Lamp-for-30-free-shipping/2170304.html,"Neon Mart via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170304"">LE Swing Arm Dimmable LED Desk Lamp</a> for $35.99. Coupon code ""P2X8J625"" drops it to <b>$30.23</b>. With <b>free shipping</b>, that's the lowest price we could find by $12. It features a C-clamp for attaching to a desk or table. Deal ends January 9.",LIGHTING & LAMPS
,2018-01-02T13:37:08-05:00,,Unitek USB 3.0 to SATA Adapter,free shipping w/ Prime,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p4a7cohmn31mhw6hebzk",$5,2170325,https://www.dealnews.com/Unitek-USB-3.0-to-SATA-Adapter-for-5-free-shipping-w-Prime/2170325.html,"Ocean Technology via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170325"">Unitek USB 3.0 to SATA Adapter</a> for $9.99. Coupon code ""7WF7TIF4"" cuts it to <strong>$4.99</strong>. Plus, Prime members grab <strong>free shipping</strong>. That's tied with our November mention, $11 off list, and the lowest price we could find. It supports data transfer speeds up to 5Gb/s. Deal ends January 15.",COMPUTER CABLES
,2018-01-02T13:31:16-05:00,,OXA Self Balancing Hover Board,free shipping,2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mt8heq1ix8d8fnp5uxyr",$240,2170277,https://www.dealnews.com/OXA-Self-Balancing-Hover-Board-for-240-free-shipping/2170277.html,"OXA Home via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170277"">OXA Self Balancing Hover Board</a> in Red for $299.99. Coupon code ""HB526SXC"" cuts it to <strong>$239.99</strong>. With <strong>free shipping</strong>, that's $60 off and the lowest price we could find. It features 10.5 mile range, smart LED headlights, Bluetooth 4.2 speakers, and a 350-watt motor. Deal ends January 28.",TOYS & HOBBIES
