editors_choice,hotness,shipping,uuid,picture_url,description,time_modified,time_published,category,url,price,title
,5,free shipping w/ $45,2168093,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t4ri2iy3xr4frght7n3w","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168093"">Home Depot</a> takes <b>up to 75% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088053,2168093"">overstock items</a>, with prices starting at <strong>$5.99</strong>. Shipping starts at <strong>$5.99</strong>, but select items and orders of $45 or more qualify for free shipping. (Some oversized items may incur additional fees; in-store pickup is also available for many items.) Discounted items include decor, bathroom items, lighting, furniture, and more.",,2017-12-29T06:26:33-05:00,HOME & GARDEN,https://www.dealnews.com/Home-Depot-Overstock-Sale-Up-to-75-off-free-shipping-w-45/2168093.html,Up to 75% off,Home Depot Overstock Sale
,4,free shipping w/ Prime,2168087,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xho9hrncus3do9so9ypg","Thousandshores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168087"">Dr.meter Pepper and Salt Grinder</a> for $16.99. Coupon code ""6UILVIOA"" cuts it to <strong>$12</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off list and the lowest price we could find. It features Each grinder features a ceramic rotor with manual coarseness adjustment. Deal ends December 31.",,2017-12-29T06:21:22-05:00,KITCHEN,https://www.dealnews.com/Dr.meter-Pepper-and-Salt-Grinder-for-12-free-shipping-w-Prime/2168087.html,$12,Dr.meter Pepper and Salt Grinder
,3,free shipping,2168084,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/io1sk1ouhvbhmkxj0hcr","Depstech via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168084"">Depstech 16.5-Foot Wireless Endoscope</a> for $42.99. Coupon code ""QT5FCA6W"" cuts that to <strong>$27.49</strong>. (It doesn't stack with the clippable coupon on the product page.) With <strong>free shipping</strong>, that's tied with last month's mention, $16 off list, and the lowest price we could find. It's compatible with Android and iOS and features three adjustable resolutions (up to 720p) and a 2-megapixel camera. Deal ends January 25.",,2017-12-29T06:17:36-05:00,CELL PHONE ACCESSORIES,https://www.dealnews.com/Depstech-16.5-Foot-Wireless-Endoscope-for-27-free-shipping/2168084.html,$27,Depstech 16.5-Foot Wireless Endoscope
,5,free shipping w/ Prime,2168081,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d5bisfubhcsisgtxkiz0","As one of its daily deals, Amazon takes <strong>up to 40% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088050,2168081"">NHL cold-weather apparel</a>, with prices starting from <strong>$3.53</strong>. Plus, Prime members receive <strong>free shipping</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088044,2168081"">adidas Men's NHL Authentic Pullover Hoodie</a> from <strong>$30</strong> (low by $19)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168081"">adidas Men's NHL CCM Pullover Jersey Hoodie</a> from <strong>$30</strong> (Calgary Flames pictured, low by $55)
 </li>
</ul>",,2017-12-29T06:05:35-05:00,CLOTHING & ACCESSORIES,https://www.dealnews.com/NHL-Cold-Weather-Apparel-at-Amazon-Up-to-40-off-from-4-free-shipping-w-Prime/2168081.html,"Up to 40% off, from $4",NHL Cold-Weather Apparel at Amazon
,4,pickup at Walmart,2168069,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ri69zcyh3fdubonphwis","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168069"">Stansport Emergency Camper's Multi Tool</a> for <strong>$7.53</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088047,2168069"">Amazon</a> charges the same price, for Prime members only.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $10. It features an axe, hammer, knife, saw, blades, screwdrivers, file and more.",,2017-12-29T06:03:35-05:00,TOOLS & HARDWARE,https://www.dealnews.com/Stansport-Emergency-Campers-Multi-Tool-for-8-pickup-at-Walmart/2168069.html,$8,Stansport Emergency Camper's Multi Tool
,3,free shipping,2168078,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r5kqixtzzpqho4uxxhbn","SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168078"">Elechomes 1.7-Liter Smart Keep Warm Electric Kettle</a> in Black for $29.99. Coupon code ""Q8M8TJQU"" cuts it to <strong>$19.99</strong>. With <strong>free shipping</strong>, that's $4 less than last week's mention, $10 off list, and the lowest price we've seen. Deal ends December 31.",,2017-12-29T06:02:20-05:00,SMALL APPLIANCES,https://www.dealnews.com/Elechomes-1.7-L-Keep-Warm-Electric-Kettle-for-20-free-shipping/2168078.html,$20,Elechomes 1.7L Keep Warm Electric Kettle
,5,free shipping,2168075,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lsv0e7c3zk8jab7nckl6","As one of its daily deals, Home Depot takes <strong>up to 60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168075"">lighting and light bulbs</a>. (Prices are as marked.) Plus, all orders receive <strong>free shipping</strong>. Deal ends today.",,2017-12-29T05:54:57-05:00,LIGHTING & LAMPS,https://www.dealnews.com/Lighting-and-Light-Bulbs-at-Home-Depot-Up-to-60-off-free-shipping/2168075.html,Up to 60% off,Lighting and Light Bulbs at Home Depot
True,3,,2168072,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ok90ayz0qmswkq0ybbz2","CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168072"">Prey for Windows</a> bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088023,2168072"">Cosmonaut Shotgun Pack DLC</a> for <strong>$13.49</strong>. That's $3 under our September mention and the lowest price we've seen. (It's now $3 under the best price for the base game alone.) It's this editor's Game of the Year, and I'm <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088026,2168072"">not alone</a>.<br>
<br>
Note: New customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088029,2168072"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.<br>
<br>
Still undecided? A trial is available for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088032,2168072"">Windows, PS4, and Xbox One</a>, which allows you to carry over your progress should you decide to buy the game.",,2017-12-29T05:44:44-05:00,PC GAMES,https://www.dealnews.com/Prey-for-PC-w-DLC-for-13/2168072.html,$13,Prey for PC w/ DLC
,3,free shipping,2168060,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rttw1lhu5yz7bgs8llau","SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168060"">Elechomes 1,600-watt 68-oz. High Speed Blender</a> for $129.99. Coupon code ""5PBVKPP4"" cuts that to <strong>$89.99</strong>. With <strong>free shipping</strong>, that's $9 less than last week's mention, $410 off list, and the lowest price we could. It features ten speeds up to 30,000 RPM, an LED display, and measuring cup. Deal ends December 31.",,2017-12-29T05:38:29-05:00,SMALL APPLIANCES,https://www.dealnews.com/Elechomes-1-600-W-68-oz.-High-Speed-Blender-for-90-free-shipping/2168060.html,$90,"Elechomes 1,600W 68-oz. High Speed Blender"
,,free shipping,2167319,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ts8zb07grvaih0et6bzr","RC Drone via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167319"">DoDoeleph Syma X5A-1 4-Channel 6-Axis Quadcopter Drone</a> in White for $29.99. Coupon code ""VQFGKSTD"" cuts it to <strong>$20.09</strong>. Plus, <strong>free shipping</strong> applies. It features a 7-minute flight time, blade protection, and night lights. Deal ends December 31.",,2017-12-29T00:01:00-05:00,TOYS & HOBBIES,https://www.dealnews.com/Do-Doeleph-Syma-4-Channel-Quadcopter-for-20-free-shipping/2167319.html,$20,DoDoeleph Syma 4-Channel Quadcopter
