hotness,url,time_published,time_modified,description,shipping,uuid,price,picture_url,editors_choice,title,category
,https://www.dealnews.com/AT-T-Internet-50-w-100-Reward-Card-for-40-per-month/2168477.html,,2017-12-29T16:53:28-05:00,"With a 1-year service agreement, AT&T offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168477"">AT&amp;T Internet 50</a> service bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089436,2168477"">$100 AT&amp;T Visa Reward Card</a> for <strong>$40 per month</strong>. (Scroll down to find the offer. A 12-month term is required.) It features speeds up to 50Mbps with up to 1TB of data per month. (Plan prices may vary by location.) Deal ends January 4.",,2168477,$40 per month,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nzvonpwi0mxqnq1mgamg",,AT&T Internet 50 w/ $100 Reward Card,COMPUTER SERVICES
3,https://www.dealnews.com/Nautica-Womens-Kellen-High-Top-Sneakers-for-30-free-shipping/2168426.html,2017-12-29T15:01:25-05:00,,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168426"">Nautica Women's Kellen High Top Sneakers</a> in Camel or Navy for <b>$29.50</b> with <b>free shipping</b>. That's $30 off list and the lowest price we could find. They're available in sizes 6 to 10. Deal ends December 30.",free shipping,2168426,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/flf8tsffutbvsfabfruz",,Nautica Women's Kellen High Top Sneakers,SHOES
3,https://www.dealnews.com/Barbour-Mens-Quilted-Coat-for-120-free-shipping/2168438.html,2017-12-29T15:00:13-05:00,,"Lord & Taylor offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168438"">Barbour Men's Quilted Coat</a> in Black for <strong>$119.60</strong> with <b>free shipping</b>. That's $179 off list and the lowest price we could find for any color by $11. It's available in select sizes from S to XXL.",free shipping,2168438,$120,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ra04ie63uzvtvahy7p0x",,Barbour Men's Quilted Coat,COATS
3,https://www.dealnews.com/Bonobos-Final-Sale-Extra-30-off-free-shipping/2168429.html,2017-12-29T15:00:02-05:00,,"Ending today, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168429"">Bonobos</a> takes an <strong>extra 30% off</strong> all <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089310,2168429"">final sale items</a> via coupon code ""WRAPPED"". Plus, all orders receive <strong>free shipping</strong>. Eligible items include men's coats, sweaters, suits, pants, jeans, dress shirts, and ties.<br>
<br>
Note: Final sale items cannot be returned or exchanged.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s40038/Bonobos/"">Bonobos Coupons</a>.</p>",free shipping,2168429,Extra 30% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aorqbir2jxv6stwzj11l",,Bonobos Final Sale,CLOTHING & ACCESSORIES
3,https://www.dealnews.com/Kenneth-Cole-Reaction-Mens-Suede-Chukkas-for-45-free-shipping/2168423.html,2017-12-29T14:59:25-05:00,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168423"">Kenneth Cole Reaction Men's Desert Sun Suede Chukkas</a> in several colors (Olive pictured) for <strong>$44.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089292,2168423"">Amazon</a> has them in select sizes from the same price.) That's $4 under our October mention and the lowest price we could find now by $13. They're available in select sizes from 7 to 13. Deal ends December 30.",free shipping,2168423,$45,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xeefokvzwmriwzv588ge",,Kenneth Cole Reaction Men's Suede Chukkas,SHOES
3,https://www.dealnews.com/Sporto-Womens-Makela-Waterproof-Boots-for-28-free-shipping/2168411.html,2017-12-29T14:51:47-05:00,,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168411"">Sporto Women's Makela Cold-Weather Waterproof Boots</a> in Pewter for <strong>$27.60</strong> with <strong>free shipping</strong>. That's $41 off list and the lowest price we could find. They're available in sizes 6 to 9. Deal ends December 30.",free shipping,2168411,$28,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ojuxfqynwovood8i5kgy",,Sporto Women's Makela Waterproof Boots,SHOES
3,https://www.dealnews.com/Pyrex-2-Cup-Measuring-Cup-for-3-free-s-h-w-beauty-item/2168432.html,,2017-12-29T14:49:20-05:00,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168432"">Pyrex 2-Cup Measuring Cup</a> for $3.99. Coupon code ""FIT"" knocks it to <strong>$2.55</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089331,2168432"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. Minus padding, that's the lowest price we could find by $3. It's microwave-, fridge-, and dishwasher-safe. Deal ends December 30.",free s&h w/beauty item,2168432,$3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aeubiqiauqqms2ova2ju",,Pyrex 2-Cup Measuring Cup,KITCHEN
3,https://www.dealnews.com/Lenox-Ski-Shop-Porcelain-Building-for-35-free-shipping/2168417.html,2017-12-29T14:35:27-05:00,,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168417"">Lenox Mistletoe Park Ski Shop Porcelain Building</a> for <strong>$34.99</strong> with <strong>free shipping</strong>. That's $105 off and the lowest price we could find. It measures approximately 6.25"" x 6"" x 5"" and requires four AAA batteries. (It's unclear if batteries are included.) Deal ends December 30.",free shipping,2168417,$35,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mymkvbjsiqmtnzktczrw",,Lenox Ski Shop Porcelain Building,DECOR
3,https://www.dealnews.com/Under-Armour-Womens-Thrill-3-Running-Shoes-for-38-free-shipping/2168408.html,2017-12-29T14:31:10-05:00,,"As one of its daily deals, Finish Line via Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168408"">Under Armour Women's Thrill 3 Running Shoes</a> in Black for <b>$37.48</b> with <b>free shipping</b>. That's $13 under our August mention and the lowest price we could find by $13. They're available in sizes 6 to 11. Deal ends December 30.",free shipping,2168408,$38,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ekrbfkoiiljthzqr5az5",,Under Armour Women's Thrill 3 Running Shoes,SHOES
3,https://www.dealnews.com/Milwaukee-12-V-LED-Spot-Light-w-Battery-for-69-free-shipping/2168375.html,2017-12-29T14:23:18-05:00,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168375"">Milwaukee M12 12-volt Lithium-Ion Cordless Trueview LED Spot Light</a> bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089043,2168375"">Milwaukee M12 XC Battery Pack</a> for <strong>$69</strong> with <strong>free shipping</strong>. That's $69 off list and the lowest price we could find. It features a 2,100-foot beam distance, three output modes, and IPX4 moisture resistance.",free shipping,2168375,$69,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/taxcyjyfcs0dtkjhiias",,Milwaukee 12V LED Spot Light w/ Battery,FLASHLIGHTS & LIGHTING
,https://www.dealnews.com/Sirius-XM-6-Month-Subscriptions-for-30/2168480.html,2017-12-29T15:26:53-05:00,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168480"">SiriusXM</a> offers your choice of a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089442,2168480"">SiriusXM 6-Month Select Package</a> or a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089445,2168480"">SiriusXM 6-Month Streaming Package</a> for <strong>$30</strong>. You'll need to cancel before the six months is over unless you want to renew at $15.99/month.",,2168480,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nonoj6uneng7s7worenq",,SiriusXM 6-Month Subscriptions,MUSIC
5,https://www.dealnews.com/Weatherproof-Mens-Jake-Cold-Weather-Boots-for-37-free-shipping/2168399.html,,2017-12-29T21:01:54-05:00,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168399"">Weatherproof Men's Jake Cold Weather Boots</a> in Taupe or Grey for <strong>$36.99</strong> with <strong>free shipping</strong>. That's $38 off and the lowest price we could find, although we saw them for $7 less last month. They're available in select sizes from 8 to 13. Deal ends December 30.",free shipping,2168399,$37,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w70omtpyh8hhixntkynn",,Weatherproof Men's Jake Cold Weather Boots,SHOES
4,https://www.dealnews.com/Levis-Mens-Stanton-Burnish-Sneakers-for-30-free-shipping/2168405.html,,2017-12-29T21:01:20-05:00,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168405"">Levi's Men's Stanton Burnish Sneakers</a> in Black for <strong>$29.99</strong> with <strong>free shipping</strong>. That's tied with a Cyber Monday deal, $30 off list, and the lowest price we could find. They're available in sizes 8 to 11. Deal ends December 30.",free shipping,2168405,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a5yno52fei7d7hvvixex",,Levi's Men's Stanton Burnish Sneakers,SHOES
3,https://www.dealnews.com/G-by-Guess-Womens-Harson-Tall-Boots-for-45-free-shipping/2168393.html,2017-12-29T14:14:38-05:00,,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168393"">G by Guess Women's Harson Tall Boots</a> in Brown or Black for <strong>$44.50</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago, $45 off list, and the lowest price we've seen. They're available in select sizes from 6 to 10. Deal ends December 30.",free shipping,2168393,$45,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l5zc5qikrtcesy1a93te",,G by Guess Women's Harson Tall Boots,SHOES
3,https://www.dealnews.com/Refurb-Samsung-Smart-Cam-Camera-2-Pack-for-90-free-shipping/2168396.html,2017-12-29T14:10:04-05:00,,"As one of its daily deals, Woot via Amazon offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168396"">Samsung SmartCam HD Plus 1080p WiFi IP Monitoring Camera 2-Pack</a> for <strong>$89.99</strong> with <strong>free shipping</strong>. That's $148 under the lowest price we could find for two of these new. although we saw this 2-pack for $5 less last month. Each camera features a 130° wide angle of view, 1080p video, 2-way talk, motion & audio detection, and email and mobile notification. Deal ends today.<br>
<br>
Note: A 90-day Samsung warranty applies.",free shipping,2168396,$90,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zfa6ctulmxx8ec3vfp8a",,Refurb Samsung SmartCam Camera 2-Pack,SECURITY CAMERAS
